title,price,city,year,mileage,fuel,engine_cc,transmission,updated,url
Toyota Vitz  2017 F Safety 1.0 for Sale8/10,PKR 35.5 lacs,Karachi,2017,"92,249 km",Petrol,1000 cc,Automatic,Updated 1 minute ago,https://www.pakwheels.com/used-cars/toyota-vitz-2017-for-sale-in-karachi-10819348
Toyota Vitz  2013 F 1.0 for Sale6.7/10,PKR 25.9 lacs,Karachi,2013,"104,498 km",Petrol,1000 cc,Automatic,Updated 2 minutes ago,https://www.pakwheels.com/used-cars/toyota-vitz-2013-for-sale-in-karachi-10817403
Suzuki Bolan  2017 VX Euro II for Sale5.6/10,PKR 13.5 lacs,Karachi,2017,"53,898 km",Petrol,800 cc,Manual,Updated 4 minutes ago,https://www.pakwheels.com/used-cars/suzuki-bolan-2017-for-sale-in-karachi-10815118
Honda BR-V  2020  for Sale8.9/10,PKR 41 lacs,Karachi,2020,"185,151 km",Petrol,1500 cc,Manual,Updated 5 minutes ago,https://www.pakwheels.com/used-cars/honda-br-v-2020-for-sale-in-karachi-10816136
Toyota Passo  2018 Moda S for Sale9/10,PKR 35.1 lacs,Karachi,2018,"82,763 km",Petrol,1000 cc,Automatic,Updated 6 minutes ago,https://www.pakwheels.com/used-cars/toyota-passo-2018-for-sale-in-karachi-10689375
Toyota Fortuner  2021 2.8 Sigma 4 for Sale,PKR 1.48 crore,Karachi,2021,"48,000 km",Diesel,2800 cc,Automatic,Updated 8 minutes ago,https://www.pakwheels.com/used-cars/toyota-fortuner-2021-for-sale-in-karachi-10835060
Toyota Corolla  2018 Altis Grande CVT-i 1.8 for Sale7.7/10,PKR 49.8 lacs,Karachi,2018,"116,612 km",Petrol,1800 cc,Automatic,Updated 10 minutes ago,https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-karachi-10802128
Suzuki Alto  2007 VXR (CNG) for Sale3.4/10,PKR 8.3 lacs,Karachi,2007,"206,913 km",CNG,1000 cc,Manual,Updated 11 minutes ago,https://www.pakwheels.com/used-cars/suzuki-alto-2007-for-sale-in-karachi-10816109
Haval H6  2025 1.5T for Sale10/10,PKR 97 lacs,Karachi,2025,"4,821 km",Petrol,1500 cc,Automatic,Updated 12 minutes ago,https://www.pakwheels.com/used-cars/haval-h6-2025-for-sale-in-karachi-10698562
Suzuki Cultus  2011 VXRi for Sale2.9/10,PKR 10.9 lacs,Karachi,2011,"2,286 km",Petrol,1000 cc,Manual,Updated 18 minutes ago,https://www.pakwheels.com/used-cars/suzuki-cultus-2011-for-sale-in-karachi-10722207
Suzuki Wagon R  2020 VXL for Sale8.6/10,PKR 26.8 lacs,Karachi,2020,"44,713 km",Petrol,1000 cc,Manual,Updated 19 minutes ago,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2020-for-sale-in-karachi-10696735
Toyota Hilux  2018 Revo V Automatic 2.8 for Sale,PKR 96.5 lacs,Karachi,2018,"65,000 km",Diesel,2800 cc,Automatic,Updated 21 minutes ago,https://www.pakwheels.com/used-cars/toyota-hilux-2018-for-sale-in-karachi-10834995
Toyota Passo  2017 X G Package for Sale,PKR 31.5 lacs,Karachi,2017,"79,000 km",Petrol,1000 cc,Automatic,Updated 5 minutes ago,https://www.pakwheels.com/used-cars/toyota-passo-2017-for-sale-in-karachi-10835076
Honda Civic  1999 VTi Oriel 1.6 for Sale,PKR 12.25 lacs,Karachi,1999,"150,000 km",Petrol,1600 cc,Manual,Updated 6 minutes ago,https://www.pakwheels.com/used-cars/honda-civic-1999-for-sale-in-karachi-10835066
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Beige Interior for Sale,PKR 63.75 lacs,Karachi,2021,"35,000 km",Petrol,1800 cc,Automatic,Updated 9 minutes ago,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-10835059
Toyota Aqua  2014 S for Sale,PKR 31.75 lacs,Karachi,2014,"138,000 km",Hybrid,1500 cc,Automatic,Updated 11 minutes ago,https://www.pakwheels.com/used-cars/toyota-aqua-2014-for-sale-in-karachi-10834622
Mazda Rx7  1978  for Sale,PKR 1 lacs,Karachi,1978,100 km,Petrol,4000 cc,Automatic,Updated 11 minutes ago,https://www.pakwheels.com/used-cars/mazda-rx7-1978-for-sale-in-karachi-10835048
Honda BR-V  2021 i-VTEC S for Sale,PKR 51 lacs,Karachi,2021,"65,000 km",Petrol,1500 cc,Automatic,Updated 12 minutes ago,https://www.pakwheels.com/used-cars/honda-br-v-2021-for-sale-in-karachi-10835044
Toyota Aqua  2014 S for Sale,PKR 33 lacs,Karachi,2014,"70,000 km",Hybrid,1500 cc,Automatic,Updated 14 minutes ago,https://www.pakwheels.com/used-cars/toyota-aqua-2014-for-sale-in-karachi-10835038
